Name,Value,Class
beta,2,double
beta_vals,1x2,double
density,101x1,double
drag_data,16000000x3,double
drag_distri,101x1,double
Dxp,240x240x240,double
Dxux,240x240x240,double
Dxuy,240x240x240,double
Dxuz,240x240x240,double
Dyp,240x240x240,double
Dyux,240x240x240,double
Dyuy,240x240x240,double
Dyuz,240x240x240,double
dz,0.01,double
Dzp,240x240x240,double
Dzux,240x240x240,double
Dzuy,240x240x240,double
Dzuz,240x240x240,double
epsilon2,0.005,double
filename1,1x32,char
filename2,1x37,char
filename3,1x30,char
filename4,1x30,char
func_Dp,1x1,function_handle
func_Dxp,1x1,griddedInterpolant
func_Dyp,1x1,griddedInterpolant
func_Dzp,1x1,griddedInterpolant
func_Lu,1x1,function_handle
func_Lux,1x1,griddedInterpolant
func_Luy,1x1,griddedInterpolant
func_Luz,1x1,griddedInterpolant
func_omega,1x1,function_handle
func_omega_x,1x1,griddedInterpolant
func_omega_y,1x1,griddedInterpolant
func_omega_z,1x1,griddedInterpolant
func_u,1x1,function_handle
func_ux,1x1,griddedInterpolant
func_uy,1x1,griddedInterpolant
func_uz,1x1,griddedInterpolant
h,1x1,matlab.graphics.primitive.Image
i,101,double
indices,39598x1,double
j,2,double
k,6,double
lift_data,16000000x3,double
lift_distri,101x1,double
Lux,240x240x240,double
Luy,240x240x240,double
Luz,240x240x240,double
method,makima,string
num,16000000,double
omega_x,240x240x240,double
omega_y,240x240x240,double
omega_z,240x240x240,double
particle_data,16000000x6,double
pr,240x240x240,double
pressure_data,16000000x3,double
pressure_distri,101x1,double
tau,0.4,double
tau_vals,1x6,double
ux,240x240x240,double
uy,240x240x240,double
uz,240x240x240,double
vorticity_image,656x875x3,uint8
vorticity_image_sec,656x875x3,uint8
wp,101x1,double
x,240x1,double
y,240x1,double
y_phy_sec,0.16667,double
y_sec,10,double
z,240x1,double
z1,1x101,double
